Artifacts,Fan-Out,LCOM2
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\C\qrm_hwloc_utils.c,0,10.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\C\qrm_metis_wrap.c,1,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\factorization\qrm_activate_front.F90,8,70.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\factorization\qrm_do_subtree.F90,8,111.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\factorization\qrm_factorization_core.F90,9,114.9
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\factorization\qrm_factorization_init.F90,6,418.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\factorization\qrm_factorize.F90,7,62.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\factorization\qrm_init_front.F90,6,1105.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\methods\qrm_least_squares.F90,6,54.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\methods\qrm_min_norm.F90,6,40.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\methods\qrm_residual_norm.F90,3,13.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\methods\qrm_residual_orth.F90,4,49.75
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_adata_mod.F90,2,25.333333333333332
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_analysis_mod.F90,1,7.3076923076923075
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_common_mod.F90,6,27.208333333333332
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_const_mod.F90,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_c_comm_interface.F90,3,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_c_interface.F90,7,15.941176470588236
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_error_mod.F90,1,11.1
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_factorization_mod.F90,2,2.3333333333333335
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_fdata_mod.F90,3,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_mem_mod.F90,2,57.870588235294115
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_methods_mod.F90,1,12.8
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_mod.F90,10,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_queue_mod.F90,2,10.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_rfpf_mod.F90,3,146.25
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_sdata_mod.F90,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_solve_mod.F90,2,7.923076923076923
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_sort_mod.F90,0,242.22222222222223
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_spmat_mod.F90,6,252.2
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_string_mod.F90,0,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_task_mod.F90,4,31.307692307692307
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_trace_mod.F90,2,31.4
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\modules\qrm_utils_mod.F90,2,8.727272727272727
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\solve\qrm_apply.F90,6,122.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\solve\qrm_apply_q.F90,7,92.33333333333333
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\solve\qrm_apply_qt.F90,8,134.33333333333334
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\solve\qrm_solve.F90,6,122.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\solve\qrm_solve_r.F90,9,105.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\solve\qrm_solve_rt.F90,9,152.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\solve\qrm_solve_sing_front.F90,3,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\utils\qrm_matmul.F90,2,9.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\utils\qrm_matnrm.F90,3,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\utils\qrm_prnt_array.F90,0,159.4
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\utils\qrm_readmat.F90,2,153.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\utils\qrm_remap_pnt.F90,1,0.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\utils\qrm_vecnrm.F90,2,60.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\src\utils\secs.c,0,3.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\test\qrm_coverage.F90,2,243.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\test\qrm_coverage_mod.F90,3,45.642857142857146
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\test\qrm_test_c.F90,4,45.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\test\qrm_test_err.F90,4,17.6
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\test\qrm_test_facto.F90,2,65.33333333333333
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\test\qrm_test_ord.F90,2,145.5
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\test\qrm_test_sing.F90,2,19.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\test\qrm_test_slv.F90,2,13.0
C:\Users\Nikos\Documents\NetBeansProjects\examp\2.qr_mumps\qr_mumps-1.2\test\qrm_test_solve_c.c,1,0.0
